29
1	21	27	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
20	26	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0
2 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0
3 1 0 2 1 1 1 1 1 0 0 0 0 0 0 0 2 1 1 1 1 1 0 0 0 0 0 0 0
4 2 0 2 2 1 1 1 1 1 0 0 0 0 0 0 2 2 1 1 1 1 1 0 0 0 0 0 0
5 2 1 2 2 2 1 1 1 1 0 0 0 0 0 0 2 2 2 1 1 1 1 0 0 0 0 0 0
6 3 1 3 2 2 2 1 1 1 1 0 0 0 0 0 3 2 2 2 1 1 1 1 0 0 0 0 0
7 3 1 3 3 2 2 1 1 1 1 0 0 0 0 0 3 3 2 2 1 1 1 1 0 0 0 0 0
8 4 1 3 3 2 2 2 1 1 1 1 0 0 0 0 3 3 2 2 2 1 1 1 1 0 0 0 0
9 4 1 4 3 2 2 2 1 1 1 1 0 0 0 0 4 3 2 2 2 1 1 1 1 0 0 0 0
11 5 2 4 3 3 3 2 2 1 1 1 1 0 0 0 4 3 3 3 2 2 1 1 1 1 0 0 0
13 6 2 5 4 3 3 2 2 2 1 1 1 0 0 0 5 4 3 3 2 2 2 1 1 1 0 0 0
15 7 3 5 5 4 3 3 2 2 1 1 1 1 0 0 5 5 4 3 3 2 2 1 1 1 1 0 0
17 8 3 6 5 4 4 3 3 2 2 1 1 1 1 0 6 5 4 4 3 3 2 2 1 1 1 1 0
19 9 3 6 6 5 4 3 3 2 2 1 1 1 1 0 6 6 5 4 3 3 2 2 1 1 1 1 0
21 10 4 7 6 5 5 4 3 3 2 2 1 1 1 0 7 6 5 5 4 3 3 2 2 1 1 1 0
23 11 4 8 7 5 5 4 3 3 2 2 1 1 1 1 8 7 5 5 4 3 3 2 2 1 1 1 1
25 12 5 8 7 6 6 5 4 3 3 2 2 1 1 1 8 7 6 6 5 4 3 3 2 2 1 1 1
28 14 5 9 8 7 6 5 4 3 3 2 2 1 1 1 9 8 7 6 5 4 3 3 2 2 1 1 1
31 15 6 10 9 7 7 6 5 4 3 3 2 2 1 1 10 9 7 7 6 5 4 3 3 2 2 1 1
34 17 6 11 10 8 7 6 5 4 3 3 2 2 1 1 11 10 8 7 6 5 4 3 3 2 2 1 1
38 19 7 12 11 9 8 7 6 5 4 3 2 2 2 1 12 11 9 8 7 6 5 4 3 2 2 2 1
42 21 8 14 12 10 9 8 6 5 4 3 3 2 2 1 14 12 10 9 8 6 5 4 3 3 2 2 1
46 23 9 15 13 11 10 8 7 6 5 4 3 2 2 1 15 13 11 10 8 7 6 5 4 3 2 2 1
50 25 10 16 14 12 11 9 7 6 5 4 3 3 2 2 16 14 12 11 9 7 6 5 4 3 3 2 2
55 27 11 18 15 13 12 10 8 7 6 5 4 3 2 2 18 15 13 12 10 8 7 6 5 4 3 2 2
60 30 12 19 17 14 13 11 9 7 6 5 4 3 3 2 19 17 14 13 11 9 7 6 5 4 3 3 2
55 27 11 18 15 13 12 10 8 7 6 5 4 3 2 2 18 15 13 12 10 8 7 6 5 4 3 2 2
60 30 12 19 17 14 13 11 9 7 6 5 4 3 3 2 19 17 14 13 11 9 7 6 5 4 3 3 2
65 32 13 21 18 15 14 12 10 8 7 6 4 4 3 2 21 18 15 14 12 10 8 7 6 4 4 3 2
70 35 14 22 19 16 15 12 10 9 7 6 5 4 3 2 22 19 16 15 12 10 9 7 6 5 4 3 2
75 37 15 24 21 17 16 13 11 9 8 6 5 4 3 3 24 21 17 16 13 11 9 8 6 5 4 3 3
80 40 16 25 22 18 17 14 12 10 8 7 5 4 4 3 25 22 18 17 14 12 10 8 7 5 4 4 3
85 42 17 27 23 19 18 15 13 10 9 7 6 5 4 3 27 23 19 18 15 13 10 9 7 6 5 4 3
90 45 18 28 25 21 19 16 13 11 9 8 6 5 4 3 28 25 21 19 16 13 11 9 8 6 5 4 3
95 47 19 30 26 22 20 17 14 12 10 8 6 5 4 3 30 26 22 20 17 14 12 10 8 6 5 4 3
100 50 20 31 27 23 21 18 15 12 10 9 7 6 5 4 31 27 23 21 18 15 12 10 9 7 6 5 4
105 52 21 33 28 24 22 19 16 13 11 9 7 6 5 4 33 28 24 22 19 16 13 11 9 7 6 5 4
110 55 22 34 30 25 23 19 16 14 11 9 7 6 5 4 34 30 25 23 19 16 14 11 9 7 6 5 4
115 57 23 36 31 26 24 20 17 14 12 10 8 6 5 4 36 31 26 24 20 17 14 12 10 8 6 5 4
120 60 24 38 32 27 25 21 18 15 12 10 8 7 6 4 38 32 27 25 21 18 15 12 10 8 7 6 4
125 62 25 39 34 28 26 22 18 15 13 11 8 7 6 4 39 34 28 26 22 18 15 13 11 8 7 6 4
133 66 26 41 36 30 28 23 20 16 14 11 9 7 6 5 41 36 30 28 23 20 16 14 11 9 7 6 5
143 71 28 44 38 32 30 25 21 18 15 12 10 8 7 5 44 38 32 30 25 21 18 15 12 10 8 7 5
153 76 30 47 41 34 32 27 22 19 16 13 10 9 7 6 47 41 34 32 27 22 19 16 13 10 9 7 6
163 81 32 50 44 37 34 29 24 20 17 14 11 9 8 6 50 44 37 34 29 24 20 17 14 11 9 8 6
173 86 34 54 46 39 36 30 25 21 18 15 12 10 8 6 54 46 39 36 30 25 21 18 15 12 10 8 6
183 91 36 57 49 41 38 32 27 22 19 16 12 10 9 7 57 49 41 38 32 27 22 19 16 12 10 9 7
193 96 38 60 52 43 40 34 28 24 20 17 13 11 9 7 60 52 43 40 34 28 24 20 17 13 11 9 7
205 102 41 63 55 46 43 36 30 25 21 18 14 12 10 8 63 55 46 43 36 30 25 21 18 14 12 10 8
220 110 44 68 59 49 46 39 32 27 23 19 15 13 10 8 68 59 49 46 39 32 27 23 19 15 13 10 8
235 117 47 73 63 53 49 41 35 29 24 20 16 13 11 9 73 63 53 49 41 35 29 24 20 16 13 11 9
250 125 50 77 67 56 52 44 37 31 26 22 17 14 12 9 77 67 56 52 44 37 31 26 22 17 14 12 9
268 134 53 83 72 60 56 47 39 33 28 23 18 15 13 10 83 72 60 56 47 39 33 28 23 18 15 13 10
288 144 57 89 77 64 60 50 42 35 30 25 20 16 14 11 89 77 64 60 50 42 35 30 25 20 16 14 11
308 154 61 95 82 69 64 54 45 38 32 27 21 18 15 11 95 82 69 64 54 45 38 32 27 21 18 15 11
330 165 66 102 88 74 69 58 48 41 34 28 23 19 16 12 102 88 74 69 58 48 41 34 28 23 19 16 12
355 177 71 109 95 79 74 62 52 44 37 31 24 20 17 13 109 95 79 74 62 52 44 37 31 24 20 17 13
380 190 76 117 101 85 79 67 56 47 39 33 26 22 18 14 117 101 85 79 67 56 47 39 33 26 22 18 14
355 177 71 109 95 79 74 62 52 44 37 31 24 20 17 13 109 95 79 74 62 52 44 37 31 24 20 17 13
380 190 76 117 101 85 79 67 56 47 39 33 26 22 18 14 117 101 85 79 67 56 47 39 33 26 22 18 14
405 202 81 125 108 91 85 71 59 50 42 35 28 23 19 15 125 108 91 85 71 59 50 42 35 28 23 19 15
430 215 86 132 115 96 90 75 63 53 44 37 30 25 21 16 132 115 96 90 75 63 53 44 37 30 25 21 16
455 227 91 140 121 102 95 80 67 56 47 39 31 26 22 17 140 121 102 95 80 67 56 47 39 31 26 22 17
480 240 96 147 128 107 100 84 70 59 49 41 33 28 23 18 147 128 107 100 84 70 59 49 41 33 28 23 18
505 252 101 155 134 113 105 88 74 62 52 44 35 29 24 19 155 134 113 105 88 74 62 52 44 35 29 24 19
530 265 106 163 141 118 110 93 78 65 55 46 36 30 26 20 163 141 118 110 93 78 65 55 46 36 30 26 20
555 277 111 170 148 124 116 97 81 68 57 48 38 32 27 21 170 148 124 116 97 81 68 57 48 38 32 27 21
580 290 116 178 154 130 121 101 85 71 60 50 40 33 28 22 178 154 130 121 101 85 71 60 50 40 33 28 22
605 302 121 186 161 135 126 106 89 74 62 52 42 35 29 23 186 161 135 126 106 89 74 62 52 42 35 29 23
630 315 126 193 168 141 131 110 92 78 65 54 43 36 30 24 193 168 141 131 110 92 78 65 54 43 36 30 24
655 327 131 201 174 146 136 115 96 81 68 57 45 38 32 25 201 174 146 136 115 96 81 68 57 45 38 32 25
680 340 136 209 181 152 142 119 100 84 70 59 47 39 33 26 209 181 152 142 119 100 84 70 59 47 39 33 26
705 352 141 216 187 157 147 123 103 87 73 61 49 41 34 27 216 187 157 147 123 103 87 73 61 49 41 34 27
743 371 148 228 197 166 155 130 109 91 77 64 51 43 36 28 228 197 166 155 130 109 91 77 64 51 43 36 28
793 396 158 243 211 177 165 138 116 98 82 69 55 46 38 30 243 211 177 165 138 116 98 82 69 55 46 38 30
843 421 168 258 224 188 175 147 124 104 87 73 58 49 41 32 258 224 188 175 147 124 104 87 73 58 49 41 32
893 446 178 273 237 199 186 156 131 110 92 77 62 52 43 34 273 237 199 186 156 131 110 92 77 62 52 43 34
943 471 188 289 250 210 196 165 138 116 97 82 65 54 46 36 289 250 210 196 165 138 116 97 82 65 54 46 36
993 496 198 304 264 221 207 173 145 122 102 86 68 57 48 38 304 264 221 207 173 145 122 102 86 68 57 48 38
1043 521 208 319 277 233 217 182 153 128 108 90 72 60 50 40 319 277 233 217 182 153 128 108 90 72 60 50 40
1105 552 221 338 293 246 230 193 162 136 114 96 76 64 53 42 338 293 246 230 193 162 136 114 96 76 64 53 42
1180 590 236 361 313 263 246 206 173 145 122 102 81 68 57 45 361 313 263 246 206 173 145 122 102 81 68 57 45
1255 627 251 384 333 280 261 219 184 154 129 109 87 73 61 48 384 333 280 261 219 184 154 129 109 87 73 61 48
1330 665 266 407 353 297 277 232 195 164 137 115 92 77 64 51 407 353 297 277 232 195 164 137 115 92 77 64 51
1418 709 283 434 376 316 295 248 208 174 146 123 98 82 69 54 434 376 316 295 248 208 174 146 123 98 82 69 54
1518 759 303 464 403 338 316 265 222 187 157 131 105 88 74 58 464 403 338 316 265 222 187 157 131 105 88 74 58
1618 809 323 495 429 361 336 282 237 199 167 140 112 94 78 62 495 429 361 336 282 237 199 167 140 112 94 78 62
